DYNAMATECH,20190829,1135.65,1157.85,1133.95,1147.65,1300
DYNPRO,20190829,114.3,119.95,114.3,118.25,3920
EASTSILK,20190829,0.75,0.8,0.75,0.8,4382
EASUNREYRL,20190829,4,4.05,3.85,3.9,10950
ECLERX,20190829,450.05,460,449,450.3,4564
EDELWEISS,20190829,117,119.8,114.65,116.4,5558604
EICHERMOT,20190829,16299,16700,16137.65,16538,181398
EIDPARRY,20190829,155.6,156.25,152.4,153.5,70216
EIHAHOTELS,20190829,290.4,294.8,287,293.25,858
EIHOTEL,20190829,161.5,163.65,158.05,159.5,60765
EIMCOELECO,20190829,288.95,293,277.15,282.7,1930
EKC,20190829,19.05,19.95,18.6,19.05,66361
ELAND,20190829,4.7,4.85,4.55,4.75,3038
ELECON,20190829,30.3,30.55,28.5,29.6,46312
ELECTCAST,20190829,15.2,15.2,14.55,15.05,63457
ELECTHERM,20190829,151.3,153.35,146.1,152.75,45228
ELGIEQUIP,20190829,244.85,245.45,241,244.5,13776
ELGIRUBCO,20190829,16.5,16.75,16.5,16.75,204
EMAMILTD,20190829,301.3,303,291,296.55,112590
EMAMIPAP,20190829,79.5,79.5,74.8,74.95,493
EMAMIREAL,20190829,40.55,42,39.35,39.65,3957
EMCO,20190829,1.25,1.25,1.25,1.25,1317
EMKAY,20190829,59.9,59.9,54.25,55.85,19751
EMMBI,20190829,125.45,128.9,121.25,123.95,1427
ENDURANCE,20190829,892.4,918,878.45,884.85,27651
ENERGYDEV,20190829,5.85,5.85,5.45,5.7,36054
ENGINERSIN,20190829,103.5,106.5,102.6,105.9,1753526
ENIL,20190829,359.95,364.95,352,359.1,1658
EON,20190829,12.5,13.25,12.3,12.35,7844
EQ30,20190829,310,323.56,306,310,21
EQUITAS,20190829,104.5,110,103.5,108.3,2678775
ERIS,20190829,383.7,384.9,358.25,374.6,130335
EROSMEDIA,20190829,11.05,12,11,12,624726
ESABINDIA,20190829,1022.05,1036,996.9,1002.45,878
ESCORTS,20190829,490,521.65,487.5,517.3,3768229
ESSARSHPNG,20190829,6.6,7.15,6.6,6.85,8274
ESSELPACK,20190829,95.5,98.8,94.3,98.3,1666989
ESTER,20190829,31.2,32.35,31.05,31.65,73555
EUROCERA,20190829,0.7,0.7,0.6,0.6,750
EUROMULTI,20190829,0.4,0.5,0.4,0.5,18430
EUROTEXIND,20190829,11.6,11.6,10.75,10.75,1188
EVEREADY,20190829,82,82.05,80.15,80.45,31186
EVERESTIND,20190829,325.05,328,305.1,309.8,60225
EXCEL,20190829,1.1,1.1,1.1,1.1,29976
EXCELINDUS,20190829,896,905,826,837.75,14375
EXIDEIND,20190829,177,179.3,175.75,176.8,556714
EXPLEOSOL,20190829,253.2,254.75,244,251.6,3885
FACT,20190829,35.55,36.9,34.6,34.85,218945
FAIRCHEM,20190829,502.6,502.6,472.05,488.2,5598
FCL,20190829,25.4,25.85,24,24.25,101692
FCONSUMER,20190829,28.85,28.85,26.75,27.5,1177438
FCSSOFT,20190829,0.3,0.3,0.25,0.25,666601
FDC,20190829,160,161.35,159.8,160.5,10997
FEDERALBNK,20190829,81.8,81.8,79.25,80.4,16278747
FEL,20190829,25.15,25.5,23,24.4,177566
FELDVR,20190829,25.05,25.35,24.4,24.65,3595
FIEMIND,20190829,384,386.3,367.5,368.95,5689
FILATEX,20190829,37.25,37.55,35.15,35.8,105910
FINCABLES,20190829,364.7,366.5,359.55,363.3,32786
FINEORG,20190829,1403,1435,1403,1416.7,725
FINPIPE,20190829,509,514.9,505,506.4,8964
FLEXITUFF,20190829,12.15,12.2,11.8,12,2702
FLFL,20190829,440.5,447.9,428,431.5,10985
FMGOETZE,20190829,527.95,527.95,505.5,507.65,2462
FMNL,20190829,29.6,29.6,27.4,27.4,12430
FORCEMOT,20190829,1244.9,1251.2,1211,1218.7,12853
FORTIS,20190829,122.1,124.4,121.55,122.25,588080
FOSECOIND,20190829,1191,1203.95,1185.1,1185.7,461
FRETAIL,20190829,394,397.6,390,394.55,158864
FSC,20190829,559.95,574.8,544.5,551.7,8332
FSL,20190829,47.55,48.25,47.4,47.85,575449
GABRIEL,20190829,107,107,101.55,103.3,45762
GAEL,20190829,142.45,146,140.1,142.9,15757
GAIL,20190829,127.15,129.4,126.5,128.5,6168273
GAL,20190829,3,3,2.9,2.95,8648
GALAXYSURF,20190829,1300,1325.85,1261.2,1277.45,3644
GALLANTT,20190829,26.45,26.5,24.6,24.8,1917
GALLISPAT,20190829,17.6,17.6,16.05,16.8,19850
GAMMNINFRA,20190829,0.3,0.35,0.3,0.35,387466
GANDHITUBE,20190829,300,309.9,297.4,307.2,1839
GANECOS,20190829,245.6,246.8,240,245.75,4145
GANESHHOUC,20190829,36.85,37.75,36.2,36.5,12169
GANGESSECU,20190829,35.15,35.15,34.05,35,8439
GARDENSILK,20190829,10.25,10.5,9.4,9.6,6334
GARFIBRES,20190829,1010.05,1055,1000,1026.8,2200
GATI,20190829,40.9,40.9,39,39.85,254742
GAYAHWS,20190829,0.5,0.5,0.45,0.45,469454
GAYAPROJ,20190829,104.5,109,104.5,108.2,4326
GDL,20190829,97.1,98.65,96.15,96.4,33033
GEECEE,20190829,82.05,84.9,79.4,83.4,4362
GENESYS,20190829,80,84.8,78.45,79.35,17627
GENUSPAPER,20190829,4.6,4.6,4.4,4.5,36565
GENUSPOWER,20190829,21.4,21.65,20.8,20.95,55130
GEOJITFSL,20190829,25.85,25.85,25,25.25,64475
GEPIL,20190829,793.6,801.5,770.2,779.7,10181
GESHIP,20190829,237.5,242.5,235.55,239.95,204474
